ಹೊಮ್ಮರ,ೊಮ್ಮರ
ಹಣವನ್ತರು,ಣವನ್ತರು
ಹೂತೆಡೆ,ೂತೆಡೆ
ಹಳಹಳಿಕೆ,ಳಹಳಿಕೆ
ಹಾಡುತಣ್ಡಗಳು,ಾಡುತಣ್ಡಗಳು
ಹದ್ದಿನಲ್ಲಿಡಲು,ದ್ದಿನಲ್ಲಿಡಲು
ಹಿಞ್ಜುವವನು,ಿಞ್ಜುವವನು
ಹೊರೆಬಿಡು,ೊರೆಬಿಡು
ಹಗೆಯೆಂದು,ಗೆಯೆಂದು
ಹೊರಸಞ್ಚಾರ,ೊರಸಞ್ಚಾರ
ಹುರಿಹಾಕು,ುರಿಹಾಕು
ಹೋಗಿದ್ವಿ.,ೋಗಿದ್ವಿ.
ಹೆರಲಯದೊಳೆಕೊರೆ,ೆರಲಯದೊಳೆಕೊರೆ
ಹೀರಕ,ೀರಕ
ಹಾಗೆ,ಾಗೆ
ಹರಟೆಹೊಡಿ,ರಟೆಹೊಡಿ
ಹಬ್ಬಿದೆ,ಬ್ಬಿದೆ
ಹತ್ತಿಲ,ತ್ತಿಲ
ಹರಾವರಿ,ರಾವರಿ
ಹಾರಹೀರ,ಾರಹೀರ
ಹೊರಹೊನಲುಗಳು,ೊರಹೊನಲುಗಳು
ಹೆಚ್ಚಿದನು+,ೆಚ್ಚಿದನು+
ಹೋಗಲಿಲ್ಲ,ೋಗಲಿಲ್ಲ
ಹಂದರಗಳು/ಪಾರುಗಳು,ಂದರಗಳು/ಪಾರುಗಳು
ಹಾಲ್ಗುಮ್ಬಳ,ಾಲ್ಗುಮ್ಬಳ
ಹಿಡಿಕುಂಟೆ,ಿಡಿಕುಂಟೆ
ಹತ್ತುರತಗಳು,ತ್ತುರತಗಳು
ಹತ್ತೆ,ತ್ತೆ
ಹುಞ್ಜ,ುಞ್ಜ
ಹೊರಹೀರಿಕೆ,ೊರಹೀರಿಕೆ
ಹೊಡೆಕೆಡೆ,ೊಡೆಕೆಡೆ
ಹರಿವ,ರಿವ
ಹೆಣ್ಣಾಗಿ,ೆಣ್ಣಾಗಿ
ಹೊತ್ತ,ೊತ್ತ
ಹನ್ದಿದೊಡ್ಡಿ,ನ್ದಿದೊಡ್ಡಿ
ಹೆಚ್ಚಿಕೊಳ್ಳುವ,ೆಚ್ಚಿಕೊಳ್ಳುವ
ಹಾದಿಕಟ್ಟುಗಳು,ಾದಿಕಟ್ಟುಗಳು
ಹೊತ್ತು,ೊತ್ತು
ಹೊಸಬಗೆ,ೊಸಬಗೆ
ಹಿಮಕರಕುಲ,ಿಮಕರಕುಲ
ಹಾಸುವಲಗೆ,ಾಸುವಲಗೆ
ಹೆರ್ದೆಸೆ,ೆರ್ದೆಸೆ
ಹಲತೆರಕಾವು,ಲತೆರಕಾವು
ಹನ್ತದಲ್ಲಿ,ನ್ತದಲ್ಲಿ
ಹಾರದೆ,ಾರದೆ
ಹುತವಹಮಂಡಲ,ುತವಹಮಂಡಲ
ಹೊನ್ದಿಗೆಗಳು,ೊನ್ದಿಗೆಗಳು
ಹೊಯ್ದಾಡು,ೊಯ್ದಾಡು
ಹೊರಗಿರುವ,ೊರಗಿರುವ
ಹಗಲೇರು,ಗಲೇರು
ಹೊರುವಿಕೆ,ೊರುವಿಕೆ
ಹೊದೆಸು,ೊದೆಸು
ಹೆಚ್ಚಿಸುವಿಕೆ,ೆಚ್ಚಿಸುವಿಕೆ
ಹೊಡೆಗಾಳಿ,ೊಡೆಗಾಳಿ
ಹೊರಸುಗಳು,ೊರಸುಗಳು
ಹಿಞ್ಜರಿತ,ಿಞ್ಜರಿತ
ಹೊರಮೆರುಗು,ೊರಮೆರುಗು
ಹೇಳಿಕೊಳ್ಳುವುದು,ೇಳಿಕೊಳ್ಳುವುದು
ಹುಗಿತೆಗೆತ,ುಗಿತೆಗೆತ
ಹಾಕಿದ್ದರು,ಾಕಿದ್ದರು
ಹರಿಬಲಗಳು,ರಿಬಲಗಳು
ಹೆಣ್ಡತಿರು,ೆಣ್ಡತಿರು
ಹೂಗಿಡಗಳು,ೂಗಿಡಗಳು
ಹಿಞ್ಚೂಣಿ,ಿಞ್ಚೂಣಿ
ಹೊಟ್ಟೆಬಾಕತನಗಳು,ೊಟ್ಟೆಬಾಕತನಗಳು
ಹಾಲುಗಿಡ,ಾಲುಗಿಡ
ಹಿಂಜರಿಯುವುದಿಲ್ಲ.,ಿಂಜರಿಯುವುದಿಲ್ಲ.
ಹಿಂದೂಸ್ತಾನೀ,ಿಂದೂಸ್ತಾನೀ
ಹೊಲಿಗರು,ೊಲಿಗರು
ಹಾೞು,ಾೞು
ಹೆರಳುಳ್ಳವಳು,ೆರಳುಳ್ಳವಳು
ಹಂಚಿಕೊಡು,ಂಚಿಕೊಡು
ಹೊಗಳಿಕೆಯನ್ನೊಳಗೊಣ್ಡ,ೊಗಳಿಕೆಯನ್ನೊಳಗೊಣ್ಡ
ಹಿಮ್ಮುರಿಕೆ,ಿಮ್ಮುರಿಕೆ
ಹೊರಳೆಯೊಡೆ,ೊರಳೆಯೊಡೆ
ಹಬ್ಬಿ,ಬ್ಬಿ
ಹಿಗ್ಗಿ,ಿಗ್ಗಿ
ಹೆಗ್ಗೊಲೆ,ೆಗ್ಗೊಲೆ
ಹೆತ್ತವರು,ೆತ್ತವರು
ಹಸುರುಗಳು,ಸುರುಗಳು
ಹಳಸಲಾಗಿರುವಿಕೆಗಳು,ಳಸಲಾಗಿರುವಿಕೆಗಳು
ಹೊಱಯಿಂಕೆ,ೊಱಯಿಂಕೆ
ಹಸಿಮಡಕೆ,ಸಿಮಡಕೆ
ಹೀನೈಕೆ,ೀನೈಕೆ
ಹುಡಿಮಸಗು,ುಡಿಮಸಗು
ಹಡ್ಲು,ಡ್ಲು
ಹೊರಗಣ,ೊರಗಣ
ಹರಡಿತ್ತು,ರಡಿತ್ತು
ಹಾಲುಹಕ್ಕಿ,ಾಲುಹಕ್ಕಿ
ಹುಸಿಗಾಣ್ಕೆಗಳು,ುಸಿಗಾಣ್ಕೆಗಳು
ಹಙ್ಗಿಗ,ಙ್ಗಿಗ
ಹಿಮ್ಮೆಟ್ಟಿಸು,ಿಮ್ಮೆಟ್ಟಿಸು
ಹುಡುಕುವುದು,ುಡುಕುವುದು
ಹಯಾತಿ,ಯಾತಿ
ಹಾರಿಸುವ,ಾರಿಸುವ
ಹಸು.,ಸು.
ಹವಾಮಾನಗಳು,ವಾಮಾನಗಳು
ಹಕ್ಕು,ಕ್ಕು
ಹುರಿದುಮ್ಬಿಸುವುದು,ುರಿದುಮ್ಬಿಸುವುದು
ಹೊಣೆ,ೊಣೆ
ಹೆಣ್ಣೊಡಲ್,ೆಣ್ಣೊಡಲ್
ಹೋಗದೆ,ೋಗದೆ
ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ,ೊಂದಿಕೊಳ್ಳಬಲ್ಲ
ಹೆಚ್ಚುವ,ೆಚ್ಚುವ
ಹೃದಂಬರವಾಸಿನಿ,ೃದಂಬರವಾಸಿನಿ
ಹಣವಂತರುಗಳು,ಣವಂತರುಗಳು
ಹೆಂಗಸಿನಂತ,ೆಂಗಸಿನಂತ
ಹೊತ್ತುಕನ್ತುಗೆ,ೊತ್ತುಕನ್ತುಗೆ
ಹೆಙ್ಗಸು,ೆಙ್ಗಸು
ಹಿನ್ದಿಕ್ಕು,ಿನ್ದಿಕ್ಕು
ಹೊಲಿದುದು,ೊಲಿದುದು
ಹಾಲೆಂಡಿನವನು,ಾಲೆಂಡಿನವನು
ಹೊಳಪುಗೊಳಿಸುವುದು,ೊಳಪುಗೊಳಿಸುವುದು
ಹರಳಿನಂತೆ,ರಳಿನಂತೆ
ಹತ್ತುಸಾವಿರಗಳು,ತ್ತುಸಾವಿರಗಳು
ಹಾಡುವ,ಾಡುವ
ಹೊಗೆಯಟ್ಟ,ೊಗೆಯಟ್ಟ
ಹಾಳಿತಗಳು,ಾಳಿತಗಳು
ಹಾಡಿನಳತೆ,ಾಡಿನಳತೆ
ಹಾದಿ,,ಾದಿ,
ಹಚ್ಚುವವನು,ಚ್ಚುವವನು
ಹೊಲಸನ್ನು,ೊಲಸನ್ನು
ಹಾಲಿರ್ಪುಕೊರೆ,ಾಲಿರ್ಪುಕೊರೆ
ಹಂಡೆ.,ಂಡೆ.
ಹೊರತಾಗು,ೊರತಾಗು
ಹುಳಿಕಳೆಯಗಳು,ುಳಿಕಳೆಯಗಳು
ಹೊಂದಿದ,ೊಂದಿದ
ಹುಸಿಗಾಯಿ,ುಸಿಗಾಯಿ
ಹಙ್ಗಿಗರು,ಙ್ಗಿಗರು
ಹಗ್ಗದಿ೦ದ,ಗ್ಗದಿ೦ದ
ಹಿಂಬೊತ್ತು,ಿಂಬೊತ್ತು
ಹನ್ದಿಬಾಡುಗಳು,ನ್ದಿಬಾಡುಗಳು
ಹೊಂಗೆಮರೆಗಳು,ೊಂಗೆಮರೆಗಳು
ಹೆಚ್ಚಿಲ್ಲ,ೆಚ್ಚಿಲ್ಲ
ಹಾಕಿಕೊಂಡಿರುವ,ಾಕಿಕೊಂಡಿರುವ
ಹುಚ್ಚಿಗೆ,ುಚ್ಚಿಗೆ
ಹುಲುಗಳು,ುಲುಗಳು
ಹೊಗರೆತ್ತು,ೊಗರೆತ್ತು
ಹೊಸತನ್ನು,ೊಸತನ್ನು
ಹೇರುಡುಗಳು,ೇರುಡುಗಳು
ಹುರಿಗಾತಿ,ುರಿಗಾತಿ
ಹೂವುಗಳ,ೂವುಗಳ
ಹೂಟಗಾರರು,ೂಟಗಾರರು
ಹೇಮಪಟ್ಟಕಗಳು,ೇಮಪಟ್ಟಕಗಳು
ಹುದುಗುಗಳು,ುದುಗುಗಳು
ಹರಳುಗಳನ್ನು,ರಳುಗಳನ್ನು
ಹುಲುವಟ್ಟೆ,ುಲುವಟ್ಟೆ
ಹೇಳಿತು,ೇಳಿತು
ಹಿಗ್ಗಲಿಕೆಗಳು,ಿಗ್ಗಲಿಕೆಗಳು
ಹಲ್ಲು.,ಲ್ಲು.
ಹೊತ್ತಿಕೊಳ್ಳುವ,ೊತ್ತಿಕೊಳ್ಳುವ
ಹೊರಗಿನವರ,ೊರಗಿನವರ
ಹಸಿಶುಣ್ಟಿಗಳು,ಸಿಶುಣ್ಟಿಗಳು
ಹೆಬ್ಬೆಳೆಸು,ೆಬ್ಬೆಳೆಸು
ಹಿಮ್ಮಡು,ಿಮ್ಮಡು
ಹುಲ್ಲುಪಾಚಿ,ುಲ್ಲುಪಾಚಿ
ಹೊನ್ನುಗುಬ್ಬಿ,ೊನ್ನುಗುಬ್ಬಿ
ಹುಟ್ಟುವನ್ತೆ,ುಟ್ಟುವನ್ತೆ
ಹಣಸನ್ದ,ಣಸನ್ದ
ಹೊರಹು,ೊರಹು
ಹೊಗೆಸೊಪ್ಪನ್ನು,ೊಗೆಸೊಪ್ಪನ್ನು
ಹೊದರಾನ್,ೊದರಾನ್
ಹುಷಾರಾಗಿರುವಿಕೆಗಳು,ುಷಾರಾಗಿರುವಿಕೆಗಳು
ಹೊಗಿಸು,ೊಗಿಸು
ಹಲ್ಲಕಗಳು,ಲ್ಲಕಗಳು
ಹವೆಯಳವು,ವೆಯಳವು
ಹತ್ತಿಬಂದು,ತ್ತಿಬಂದು
ಹಲಪಿ,ಲಪಿ
ಹೇಳಿವು,ೇಳಿವು
ಹೆಂಡೆಗೊಡತಿ,ೆಂಡೆಗೊಡತಿ
ಹರದಿ,ರದಿ
ಹುಳ್ಳಗಿರುವಿಕೆಗಳು,ುಳ್ಳಗಿರುವಿಕೆಗಳು
ಹಗುರಾಗಿಸು,ಗುರಾಗಿಸು
ಹಾಡಿನಸಾಲು,ಾಡಿನಸಾಲು
ಹಳಬರು,ಳಬರು
ಹೊತ್ತುಗಲ್ಲು,ೊತ್ತುಗಲ್ಲು
ಹೋಲಿದರೆ,,ೋಲಿದರೆ,
ಹಣೆಗೆ,ಣೆಗೆ
ಹೊಡೆದನು.,ೊಡೆದನು.
ಹಳ್ಳಿಬಾಳ್ವೆಯ,ಳ್ಳಿಬಾಳ್ವೆಯ
ಹುಸಿಮುನಿಸು,ುಸಿಮುನಿಸು
ಹೆಸರಿಗೆಮಾತ್ರ,ೆಸರಿಗೆಮಾತ್ರ
ಹೊರತುಪಡಿಸು,ೊರತುಪಡಿಸು
ಹೊಲೆಗೆಸರು,ೊಲೆಗೆಸರು
ಹಲ್ಲುಬಿದ್ದವ,ಲ್ಲುಬಿದ್ದವ
ಹೀನಬುದ್ದಿ,ೀನಬುದ್ದಿ
ಹುಸಿತೋಟಾಗಳು,ುಸಿತೋಟಾಗಳು
ಹೆಡಿಗೆ,ೆಡಿಗೆ
ಹೆಚ್ಚಿನದನ್ನು,ೆಚ್ಚಿನದನ್ನು
ಹಂಪೆಯ,ಂಪೆಯ
ಹರಿವರಗಳು,ರಿವರಗಳು
ಹೊತ್ತುಕನ್ತುಗೆಗಳು,ೊತ್ತುಕನ್ತುಗೆಗಳು
ಹೆಗ್ಗಣವು,ೆಗ್ಗಣವು
ಹರಡೆಗಳು,ರಡೆಗಳು
ಹೂಣಿಗತನ,ೂಣಿಗತನ
ಹೀನನ್ದತಮಸುಗಳು,ೀನನ್ದತಮಸುಗಳು
ಹಾನಿಕರವಲ್ಲದ,ಾನಿಕರವಲ್ಲದ
ಹೊಗರುಗಣ್ಣುಗಳು,ೊಗರುಗಣ್ಣುಗಳು
ಹಾರಾಡುವಂತೆ,ಾರಾಡುವಂತೆ
ಹೆಟ್ಟುಗೆ,ೆಟ್ಟುಗೆ
ಹೋರುಗಳು,ೋರುಗಳು
ಹೆಣಿಲು,ೆಣಿಲು
ಹದುಳವಿರು,ದುಳವಿರು
ಹಾಲೊಸರುವ,ಾಲೊಸರುವ
ಹಕ್ಕಿಯರಸರುಗಳು,ಕ್ಕಿಯರಸರುಗಳು
ಹೊರವಲಯ,ೊರವಲಯ
ಹುಲಿಗಳು,ುಲಿಗಳು
ಹುರಿಮರಳುಗಳು,ುರಿಮರಳುಗಳು
ಹೆರಿಮಣೆಗಳು,ೆರಿಮಣೆಗಳು
ಹೊರಬಲೆ,ೊರಬಲೆ
ಹನ್ದಿಗೆಡ್ಡೆ,ನ್ದಿಗೆಡ್ಡೆ
ಹೊಮ್ಮುವುದರಿಂದ,ೊಮ್ಮುವುದರಿಂದ
ಹೊರಪಾಳೆಯಗಳು,ೊರಪಾಳೆಯಗಳು
ಹನ್ದಲ,ನ್ದಲ
ಹರಿವಿಗಾಗಿ,ರಿವಿಗಾಗಿ
ಹೊಂದು,ೊಂದು
ಹಿಙ್ಗಟ್ಟುಮುರಿಕಟ್ಟು,ಿಙ್ಗಟ್ಟುಮುರಿಕಟ್ಟು
ಹಲನುರಿಗರು,ಲನುರಿಗರು
ಹರಿಯುತ್ತಿದೆ,ರಿಯುತ್ತಿದೆ
ಹರಕೆ,ರಕೆ
ಹವಿ,,ವಿ,
ಹೋಲಿಸು,ೋಲಿಸು
ಹುಡುಕುವವ,ುಡುಕುವವ
ಹುಟ್ಟಿಸುವವ,ುಟ್ಟಿಸುವವ
ಹಿಂಗಾರುಗಳು,ಿಂಗಾರುಗಳು
ಹೊಳ್ಳುವಾರು,ೊಳ್ಳುವಾರು
ಹೇರುಗಳು,ೇರುಗಳು
ಹಗ್ಗದಂತೆ,ಗ್ಗದಂತೆ
ಹರಿತ್ತುಗಳು,ರಿತ್ತುಗಳು
ಹಳವಣ್ಡಗಳು,ಳವಣ್ಡಗಳು
ಹಸ್ತಲಾಗವಗಳು,ಸ್ತಲಾಗವಗಳು
ಹಾಳುಗೆಡಹು,ಾಳುಗೆಡಹು
ಹರಿತವಿಲ್ಲದುದು,ರಿತವಿಲ್ಲದುದು
ಹರಿಶ್ಚನ್ದ್ರರು,ರಿಶ್ಚನ್ದ್ರರು
ಹೊಸಕಾವ್ಯ,ೊಸಕಾವ್ಯ
ಹೋಕರು,ೋಕರು
ಹಾರಯ್ಕೆಯೋಲೆ,ಾರಯ್ಕೆಯೋಲೆ
ಹೊಂದಿಕೊಂದುಹೋಗುವ,ೊಂದಿಕೊಂದುಹೋಗುವ
ಹಗರಿಡು,ಗರಿಡು
ಹೊರಳೆಗಡಿ,ೊರಳೆಗಡಿ
ಹೊಸವರು,ೊಸವರು
ಹೊನ್ದಿಕೊಣ್ಡು,ೊನ್ದಿಕೊಣ್ಡು
ಹಿನ್ದುಮುನ್ದಾದ,ಿನ್ದುಮುನ್ದಾದ
ಹೂರಣವಿಲ್ಲದ,ೂರಣವಿಲ್ಲದ
ಹೀರೆಕಾಯಿಗಳು,ೀರೆಕಾಯಿಗಳು
ಹೆಙ್ಗೊಲೆಗಳು,ೆಙ್ಗೊಲೆಗಳು
ಹಾಗಲ್ಲದಿದ್ದರೆ,ಾಗಲ್ಲದಿದ್ದರೆ
ಹೊನ್ನಗಸೆ,ೊನ್ನಗಸೆ
ಹಾದುಹೋಗುವವನು,ಾದುಹೋಗುವವನು
ಹೆಣ್ಣುಮಗಳು,ೆಣ್ಣುಮಗಳು
ಹೊಯಿತ,ೊಯಿತ
ಹೃದಯವಿದ್ರಾವಕ,ೃದಯವಿದ್ರಾವಕ
ಹೀರದಂತೆ,ೀರದಂತೆ
ಹಾವಿ,ಾವಿ
ಹಾಳುಕೊಂಪೆಗಳು,ಾಳುಕೊಂಪೆಗಳು
ಹರಿಮುಕರು,ರಿಮುಕರು
ಹ್ಯಾಟ್,್ಯಾಟ್
ಹರಡುವುದು,ರಡುವುದು
ಹಲ್ಲಿನಂತಹ,ಲ್ಲಿನಂತಹ
ಹುರಿಟ್ಟು,ುರಿಟ್ಟು
ಹಸ್ತಾಭರಣ,ಸ್ತಾಭರಣ
ಹರಿಪಡು,ರಿಪಡು
ಹಿಡಿದುಕೊಳ್ಳುವುದು,ಿಡಿದುಕೊಳ್ಳುವುದು
ಹಗಿನಗಮ್ಪುಗಳು,ಗಿನಗಮ್ಪುಗಳು
ಹುರುದುಂಬಿಕೆ,ುರುದುಂಬಿಕೆ
ಹೋಗಲಾಗದ,ೋಗಲಾಗದ
ಹಡಕೆ,ಡಕೆ
ಹೇಳುತ್ತಿದ್ದಾನೆ,ೇಳುತ್ತಿದ್ದಾನೆ
ಹಚ್ಚುಗೆಗಳು,ಚ್ಚುಗೆಗಳು
ಹೊಂಗೆರೆ,ೊಂಗೆರೆ
ಹೊಲಸುನುಡಿ,ೊಲಸುನುಡಿ
ಹದ್ದಿನಲ್ಲಿಡುವುದು,ದ್ದಿನಲ್ಲಿಡುವುದು
ಹರಿಸ್ತುತಿ,ರಿಸ್ತುತಿ
ಹಾರದ,ಾರದ
ಹುಬ್ಬುಗಂಟಿಕ್ಕು,ುಬ್ಬುಗಂಟಿಕ್ಕು
ಹೊಳೆಯುತ್ತಿರುವುದು,ೊಳೆಯುತ್ತಿರುವುದು
ಹೃದಿ,ೃದಿ
ಹಸ್ತದಿನ್ದ,ಸ್ತದಿನ್ದ
ಹೆಸರುಮಾಡದ,ೆಸರುಮಾಡದ
ಹೊತ್ತಗೆಮನೆ,ೊತ್ತಗೆಮನೆ
ಹವೆಯಾಡುವಿಕೆ,ವೆಯಾಡುವಿಕೆ
ಹೇಳಲಿ!,ೇಳಲಿ!
ಹೊರಕಂದುಪೊರೆ,ೊರಕಂದುಪೊರೆ
ಹಾಳುಗೋಡೆ,ಾಳುಗೋಡೆ
ಹೇಗತನ,ೇಗತನ
ಹಿಮ್ಬಾಲಕರು,ಿಮ್ಬಾಲಕರು
ಹಳಿಸು,ಳಿಸು
ಹೊರಕಾಲುಗಳು,ೊರಕಾಲುಗಳು
ಹರಿತಾಳಿ,ರಿತಾಳಿ
ಹೆಗ್ಗನಸು,ೆಗ್ಗನಸು
ಹೊನ್ದಾವರೆ,ೊನ್ದಾವರೆ
ಹರಕೆಕಟ್ಟುಗಳು,ರಕೆಕಟ್ಟುಗಳು
ಹಸಿವಾ,ಸಿವಾ
ಹೊರಭಾಗ.,ೊರಭಾಗ.
ಹತ್ತಗಡೆ,ತ್ತಗಡೆ
ಹಾಸಿಗೆಹಿಡಿದ,ಾಸಿಗೆಹಿಡಿದ
ಹಿಮವತ್ಪರ್ವತ,ಿಮವತ್ಪರ್ವತ
ಹೈಮಂತಗಳು,ೈಮಂತಗಳು
ಹುಯಿಲಿನ,ುಯಿಲಿನ
ಹೆಚ್ಚೆನೂ,ೆಚ್ಚೆನೂ
ಹೊಡೆಯುಲಿ,ೊಡೆಯುಲಿ
ಹೊನ್,ೊನ್
ಹೂವಿನಸರ,ೂವಿನಸರ
ಹುಳಿನೆತ್ತರು,ುಳಿನೆತ್ತರು
ಹೊಸವೆಣ್,ೊಸವೆಣ್
ಹತ್ತುತ್ತಿದ್ದಾನೆ,ತ್ತುತ್ತಿದ್ದಾನೆ
ಹಾರಿತು,ಾರಿತು
ಹತಪ್ರತಿಜ್ಞರುಗಳು,ತಪ್ರತಿಜ್ಞರುಗಳು
ಹೊಲ್ಲಹ,ೊಲ್ಲಹ
ಹಿಡುಕುಗಳು,ಿಡುಕುಗಳು
ಹೊಟ್ಟೆಯಿಳಿತಗಳು,ೊಟ್ಟೆಯಿಳಿತಗಳು
ಹೆಗ್ಗತ್ತರಿ,ೆಗ್ಗತ್ತರಿ
ಹೊಗಳಿಕೊಳ್ಳುವಿಕೆ,ೊಗಳಿಕೊಳ್ಳುವಿಕೆ
ಹಾಳತವಾಗಿರು,ಾಳತವಾಗಿರು
ಹೊಗಳಪಟ್ಟವರು,ೊಗಳಪಟ್ಟವರು
ಹುಟ್ಟೂರುಗಳು,ುಟ್ಟೂರುಗಳು
ಹುಣ್ಡಿಯ,ುಣ್ಡಿಯ
ಹೊರಬರುತ್ತಿ,ೊರಬರುತ್ತಿ
ಹೆರಿಗೆಬೇನೆ,ೆರಿಗೆಬೇನೆ
ಹಾಲುಬಳಪ,ಾಲುಬಳಪ
ಹಗರಣಗಳು,ಗರಣಗಳು
ಹಙ್ಗುಹರಿ,ಙ್ಗುಹರಿ
ಹರಟೆಮಲ್ಲರು,ರಟೆಮಲ್ಲರು
ಹೊಂಗೆಗಳು,ೊಂಗೆಗಳು
ಹುಲ್ಲುಗುಡಿಸಿಲು,ುಲ್ಲುಗುಡಿಸಿಲು
ಹೆಚ್ಚುಕಡಿಮೆಗಳು,ೆಚ್ಚುಕಡಿಮೆಗಳು
ಹೆರ್ಗೆರೆಗಳು,ೆರ್ಗೆರೆಗಳು
ಹೆಂಗಳೆಯರನ್ನು,ೆಂಗಳೆಯರನ್ನು
ಹೇಗೆ?,ೇಗೆ?
ಹೂವುಗಣ್ಣು,ೂವುಗಣ್ಣು
ಹೆಚ್ಚುಸಂಕ್ಯೆ,ೆಚ್ಚುಸಂಕ್ಯೆ
ಹೆಡಲಿಗೆ,ೆಡಲಿಗೆ
ಹೊಸ್ತಿಲ,ೊಸ್ತಿಲ
ಹರಿವುತಡೆ,ರಿವುತಡೆ
ಹಾಡರಿಮೆ,ಾಡರಿಮೆ
ಹೂವೀಡುಗಳು,ೂವೀಡುಗಳು
ಹೆಗಲೊಡ್ಡು,ೆಗಲೊಡ್ಡು
ಹಾರಹರಿವಾಣಗಳು,ಾರಹರಿವಾಣಗಳು
ಹರಿಯಾತ್ರೆಗಳು,ರಿಯಾತ್ರೆಗಳು
ಹಾಗಲ್,ಾಗಲ್
ಹಂಚುವಿಕೆಗಳು,ಂಚುವಿಕೆಗಳು
ಹಳೇನಾಣ್ಯಗಳು,ಳೇನಾಣ್ಯಗಳು
ಹುಲಿದೊಗಲುಗಳು,ುಲಿದೊಗಲುಗಳು
ಹೊಳ್ಳುಗಳೆ,ೊಳ್ಳುಗಳೆ
ಹಾನೆಗಳು,ಾನೆಗಳು
ಹೇಮತಾಟಕ,ೇಮತಾಟಕ
ಹಚ್ಚನೆ,ಚ್ಚನೆ
ಹೆಟ್ಟಿಗೆ,ೆಟ್ಟಿಗೆ
ಹೊಸ್ತಿಲಗಳು,ೊಸ್ತಿಲಗಳು
ಹಳ್ಳತಿಟ್ಟಿನ,ಳ್ಳತಿಟ್ಟಿನ
ಹೈನು,ೈನು
ಹೀರಿಕೆಗಳು,ೀರಿಕೆಗಳು
ಹಿಂಬರುವ,ಿಂಬರುವ
ಹೊಳಲಿನ,ೊಳಲಿನ
ಹಸನ್ಮುಕತೆಗಳು,ಸನ್ಮುಕತೆಗಳು
ಹತೋಟಿಯಲ್ಲಿಟ್ಟುಕೊಂಡಿರುವವನು,ತೋಟಿಯಲ್ಲಿಟ್ಟುಕೊಂಡಿರುವವನು
ಹೆದರುವ,ೆದರುವ
ಹಣ್ಣುಮುದುಕರು,ಣ್ಣುಮುದುಕರು
ಹೊಸದಾಗೆ,ೊಸದಾಗೆ
ಹಾಯು,ಾಯು
ಹೆಣದಿನಿಹಿಗಳು,ೆಣದಿನಿಹಿಗಳು
ಹೇಗೆ.....,ೇಗೆ.....
ಹೆಣವನ್ನು,ೆಣವನ್ನು
ಹುಟ್ಟಿಬಾಹಜನ್ಮಂಗಳು,ುಟ್ಟಿಬಾಹಜನ್ಮಂಗಳು
ಹಸುರ್ಗಟ್ಟು,ಸುರ್ಗಟ್ಟು
ಹುಳಿಸೊಪ್ಪನ್ನು,ುಳಿಸೊಪ್ಪನ್ನು
ಹಾವಳಿ,ಾವಳಿ
ಹುಡುಕುವವನು,ುಡುಕುವವನು
ಹಾಸ್ಯಕ,ಾಸ್ಯಕ
ಹುಞ್ಜಗಳು,ುಞ್ಜಗಳು
ಹೆಜ್ಜೆಗುರುತುಗಳು,ೆಜ್ಜೆಗುರುತುಗಳು
ಹವಣಗಳು,ವಣಗಳು
ಹುಣ್ಣಮಿಗಳು,ುಣ್ಣಮಿಗಳು
ಹೇರಳವಾದುದು,ೇರಳವಾದುದು
ಹಾಕಿದಳು,ಾಕಿದಳು
ಹೇಜೀಬರು,ೇಜೀಬರು
ಹಂತ,ಂತ
ಹುಳುಕಡ್ಡಿಗಳು,ುಳುಕಡ್ಡಿಗಳು
ಹಲವಿ,ಲವಿ
ಹಸೆಯ,ಸೆಯ
ಹಾಳುಗೆಡಹುವ,,ಾಳುಗೆಡಹುವ,
ಹಿತವಾಗಿರದ,ಿತವಾಗಿರದ
ಹಿಂದಿರುಗಲಿಲ್ಲ,ಿಂದಿರುಗಲಿಲ್ಲ
ಹಾಡೊಂದಿಗೆ,ಾಡೊಂದಿಗೆ
ಹರ್ಷದಾಯಕಗಳು,ರ್ಷದಾಯಕಗಳು
ಹೆಜ್ಜೆಹಾಸು,ೆಜ್ಜೆಹಾಸು
ಹೊರದ್ವಾರ,ೊರದ್ವಾರ
ಹಾದರಿ,ಾದರಿ
ಹವಾನಿಯನ್ತ್ರಣ,ವಾನಿಯನ್ತ್ರಣ
ಹರಗ,ರಗ
ಹಂದಿಮೀನುಗಳು,ಂದಿಮೀನುಗಳು
ಹೇಳಿದ್ದಕ್ಕೆಲ್ಲ,ೇಳಿದ್ದಕ್ಕೆಲ್ಲ
ಹೆಜ್ಜೆಯಷ್ಟರ,ೆಜ್ಜೆಯಷ್ಟರ
ಹಲ್ಲುಗಿಞ್ಜು,ಲ್ಲುಗಿಞ್ಜು
ಹೃತಾಶನಗಳು,ೃತಾಶನಗಳು
ಹಾತೆ,ಾತೆ
ಹುರುಪೆ,ುರುಪೆ
ಹೊನ್ತಕಾರರು,ೊನ್ತಕಾರರು
ಹಿಂಸೆಕೊಡು,ಿಂಸೆಕೊಡು
ಹೂಳುನೆಲಗಳು,ೂಳುನೆಲಗಳು
ಹೋದವಳು,ೋದವಳು
ಹಾರಾಡುವನ್ತೆ,ಾರಾಡುವನ್ತೆ
