ಪಾಶವೀಕೃತ್ಯ,ಾಶವೀಕೃತ್ಯ
ಪ್ರಸಾರಣವಾಹಕ,್ರಸಾರಣವಾಹಕ
ಪ್ರಾಣಿಸಙ್ಕುಲ,್ರಾಣಿಸಙ್ಕುಲ
ಪಿಳ್ಗು,ಿಳ್ಗು
ಪ್ರಸಾಧನಗಳು,್ರಸಾಧನಗಳು
ಪಡ್ಮನೆಗಳು,ಡ್ಮನೆಗಳು
ಪಿಂಗೊಳಿಸು,ಿಂಗೊಳಿಸು
ಪ್ರತೀಕಾರತ್ಮಕವಾದ,್ರತೀಕಾರತ್ಮಕವಾದ
ಪರಿಪೂರ್ಣತ,ರಿಪೂರ್ಣತ
ಪಿಸನಾರಿ,ಿಸನಾರಿ
ಪೂರ್ವಗ್ರಹ,ೂರ್ವಗ್ರಹ
ಪ್ರತಿಪಕ್ಷಕ್ಕೆ,್ರತಿಪಕ್ಷಕ್ಕೆ
ಪ್ರತಿಶತ,್ರತಿಶತ
ಪುನರ್ವಶಮಾಡು,ುನರ್ವಶಮಾಡು
ಪತ್ತೇಮಾರಿ,ತ್ತೇಮಾರಿ
ಪೊಗ,ೊಗ
ಪೂದೊಂಗಲ್,ೂದೊಂಗಲ್
ಪೊಗುತೆ,ೊಗುತೆ
ಪಠನಗಳು,ಠನಗಳು
ಪೂರ್ವಾಭ್ಯಾಸಮಾಡು,ೂರ್ವಾಭ್ಯಾಸಮಾಡು
ಪೇಚಿಗೆ,ೇಚಿಗೆ
ಪೊರ್ದುಗೆ,ೊರ್ದುಗೆ
ಪ್ರಾರಮ್ಬಿಕ,್ರಾರಮ್ಬಿಕ
ಪಾವಸೆಗಲ್,ಾವಸೆಗಲ್
ಪರಿತಾಪ,ರಿತಾಪ
ಪಸುರ್ಗಪ್ಪು,ಸುರ್ಗಪ್ಪು
ಪಯ್ಟ್,ಯ್ಟ್
ಪೊಸಮೀನ್ಗಳು,ೊಸಮೀನ್ಗಳು
ಪತಾಕಾಗಳು,ತಾಕಾಗಳು
ಪ್ಯಾದೆ,್ಯಾದೆ
ಪಡುಂಕೆ,ಡುಂಕೆ
ಪೀವರೋರು,ೀವರೋರು
ಪರಿಬ್ರಮಣ,ರಿಬ್ರಮಣ
ಪೌರುಷ,ೌರುಷ
ಪಿನ್ದೆ,ಿನ್ದೆ
ಪತ್ರದ,ತ್ರದ
ಪವ್ಲಸ್ತ್ಯ,ವ್ಲಸ್ತ್ಯ
ಪಟ್ಟು,ಟ್ಟು
ಪಶ್ಚಿಮದೇಶದವನು,ಶ್ಚಿಮದೇಶದವನು
ಪವ್ಜು,ವ್ಜು
ಪರವರಿ,ರವರಿ
ಪಾನಪಾತ್ರೆ,ಾನಪಾತ್ರೆ
ಪುಚ್ಚುಗೊಳ್,ುಚ್ಚುಗೊಳ್
ಪೆರ್ವಿದಿರು,ೆರ್ವಿದಿರು
ಪ್ರದರ್ಶನಕ್ಕಿಟ್ಟ,್ರದರ್ಶನಕ್ಕಿಟ್ಟ
ಪರ್ಯಂತ,ರ್ಯಂತ
ಪೂಜಾದ್ರವ್ಯ,ೂಜಾದ್ರವ್ಯ
ಪನ್ದ್ಯಾಟ,ನ್ದ್ಯಾಟ
ಪ್ರಮಾಣೀಕರಿಸು,್ರಮಾಣೀಕರಿಸು
ಪಾಳೇಗಾರ,ಾಳೇಗಾರ
ಪರಭಾಗ,ರಭಾಗ
ಪಣಿಕೇತನ,ಣಿಕೇತನ
ಪಡುವ,ಡುವ
ಪ್ರಜಾದಿಕಾರಸತ್ವ,್ರಜಾದಿಕಾರಸತ್ವ
ಪಟ್ಟಸಗಳು,ಟ್ಟಸಗಳು
ಪಾಖಂಡಿ,ಾಖಂಡಿ
ಪೊಸೆ,ೊಸೆ
ಪಾತರ,ಾತರ
ಪುರ್ಚುಗೊಳ್,ುರ್ಚುಗೊಳ್
ಪ್ರಯತ್ನ.,್ರಯತ್ನ.
ಪ್ರದಾನನಗರ,್ರದಾನನಗರ
ಪವಿತ್ರವಾದ,ವಿತ್ರವಾದ
ಪ್ರಜಾಪತ್ಯ,್ರಜಾಪತ್ಯ
ಪಾತ್ರಳು,ಾತ್ರಳು
ಪಿರಙ್ಗಿ,ಿರಙ್ಗಿ
ಪಟ್ಯೇತರಗಳು,ಟ್ಯೇತರಗಳು
ಪ್ರದೇಶ______________,್ರದೇಶ______________
ಪಾರಾಗುವ,ಾರಾಗುವ
ಪ್ರದರ್ಶಿಸುತ್ತವೆ,್ರದರ್ಶಿಸುತ್ತವೆ
ಪಂಚಾಗ,ಂಚಾಗ
ಪರಿಪತ್ರ,ರಿಪತ್ರ
ಪಶುಗಳನ್ನು,ಶುಗಳನ್ನು
ಪಡೆಮಾತುಗಳು,ಡೆಮಾತುಗಳು
ಪ್ರಯೋಜನಕಾರಿ,್ರಯೋಜನಕಾರಿ
ಪಿಂಚ,ಿಂಚ
ಪಾಯಿದು,ಾಯಿದು
ಪರಂಪರಾಗತವಾಗಿ,ರಂಪರಾಗತವಾಗಿ
ಪೊರ್ಕುವಕ್ಕಿಗಳು,ೊರ್ಕುವಕ್ಕಿಗಳು
ಪಾಡಿಸು,ಾಡಿಸು
ಪಳಗಿದಕೈ,ಳಗಿದಕೈ
ಪವನಜನ,ವನಜನ
ಪಡಿಸುವವ,ಡಿಸುವವ
ಪಾರಾವಾರ,ಾರಾವಾರ
ಪೆರ್ಬಿಸಿಲ್,ೆರ್ಬಿಸಿಲ್
ಪೆಂಪುಗೆಡು,ೆಂಪುಗೆಡು
ಪತಿಕರಿಸು,ತಿಕರಿಸು
ಪಳ್ಳಗಳ್ದೆ,ಳ್ಳಗಳ್ದೆ
ಪೂಗಿಪಲ,ೂಗಿಪಲ
ಪಯಸ್ಸಿನ್ಧು,ಯಸ್ಸಿನ್ಧು
ಪದ್ಮದೇಶಗಳು,ದ್ಮದೇಶಗಳು
ಪಾಶ್ಚೀಕರಣ,ಾಶ್ಚೀಕರಣ
ಪನ್ತಿದೇರ,ನ್ತಿದೇರ
ಪಾರುಗೆಯ್ತು,ಾರುಗೆಯ್ತು
ಪೃತನಾ,ೃತನಾ
ಪುನರ್ಮವ್ಲ್ಯಮಾಪನ,ುನರ್ಮವ್ಲ್ಯಮಾಪನ
ಪೊಡೆಸೆಣ್ಡಾಡು,ೊಡೆಸೆಣ್ಡಾಡು
ಪಣತೆ,ಣತೆ
ಪರಾಗಾದಾನ,ರಾಗಾದಾನ
ಪ್ರಲಾಪಗಳು,್ರಲಾಪಗಳು
ಪ್ರಕೃತದಲ್ಲಿ,್ರಕೃತದಲ್ಲಿ
ಪಾವನವಾದುದು,ಾವನವಾದುದು
ಪಶುದನ,ಶುದನ
ಪಾರ್ಶ್ವಸ್ತವಾಗುವಿಕೆ,ಾರ್ಶ್ವಸ್ತವಾಗುವಿಕೆ
ಪ್ರಶ್ನಿಸಿದ,್ರಶ್ನಿಸಿದ
ಪಿಡಿಕೆಯ್ಸು,ಿಡಿಕೆಯ್ಸು
ಪೊಗೆಯಿಡು,ೊಗೆಯಿಡು
ಪ್ಯಾಕೆಟ್ಟು,್ಯಾಕೆಟ್ಟು
ಪುನರ್ಮವ್ಲ್ಯನ,ುನರ್ಮವ್ಲ್ಯನ
ಪ್ರಜಾಭಿಮತ,್ರಜಾಭಿಮತ
ಪಡುವಲುಗಳು,ಡುವಲುಗಳು
ಪ್ರಾಣಾಪಾಯದ,್ರಾಣಾಪಾಯದ
ಪುರುಷಾರ್ಥವಾದ,ುರುಷಾರ್ಥವಾದ
ಪದತೋಯ,ದತೋಯ
ಪಸುರುಗೂಳು,ಸುರುಗೂಳು
ಪಾಸರೆಗಲ್ಲುಗಳು,ಾಸರೆಗಲ್ಲುಗಳು
ಪಾಂಡವರಲ್ಲಿ,ಾಂಡವರಲ್ಲಿ
ಪ್ರಶ್ನಿ,,್ರಶ್ನಿ,
ಪಡೆದದ್ದು,ಡೆದದ್ದು
ಪ್ರತಿಕೂಲವಾದ,್ರತಿಕೂಲವಾದ
ಪುಣ್ಯಜನೇಶ್ವರ,ುಣ್ಯಜನೇಶ್ವರ
ಪೊಸನವಿಲ್,ೊಸನವಿಲ್
ಪೆರ್ಗರುಳ್,ೆರ್ಗರುಳ್
ಪೆರ್ಗಲ್,ೆರ್ಗಲ್
ಪಕ್ಷಾಬಿಮಾನಗಳು,ಕ್ಷಾಬಿಮಾನಗಳು
ಪೆಙ್ಗೊಲೆಯ,ೆಙ್ಗೊಲೆಯ
ಪರಿಚಯವಿರು,ರಿಚಯವಿರು
ಪರಾಗಧಾರಿ,ರಾಗಧಾರಿ
ಪಸಲೆ,ಸಲೆ
ಪರೋಪಕಾರಿ,ರೋಪಕಾರಿ
ಪರ್ಯಾಟನ,ರ್ಯಾಟನ
ಪಶುವೈದ್ಯಶಾಸ್ತ್ರ,ಶುವೈದ್ಯಶಾಸ್ತ್ರ
ಪರಿಶೋದನೆ,ರಿಶೋದನೆ
ಪ್ರಿಯನಿಗಾಗಿ,್ರಿಯನಿಗಾಗಿ
ಪೂದೊಡಂಬೆ,ೂದೊಡಂಬೆ
ಪುಣ್ಣಿವೆ,ುಣ್ಣಿವೆ
ಪತಾಕಾ,ತಾಕಾ
ಪರದೇಶದಲ್ಲಿ,ರದೇಶದಲ್ಲಿ
ಪರ್ವತಾಗ್ರ,ರ್ವತಾಗ್ರ
ಪಣಿಪತಿ,ಣಿಪತಿ
ಪೂವೞೆ,ೂವೞೆ
ಪಲಬು,ಲಬು
ಪಾಳೆಯವನ್ನು,ಾಳೆಯವನ್ನು
ಪದವಿವರಣಕೋಶ,ದವಿವರಣಕೋಶ
ಪುರಲಿ,ುರಲಿ
ಪೌರಯೋಗ್ಯ,ೌರಯೋಗ್ಯ
ಪಕಳೆ,ಕಳೆ
ಪ್ರಾಣಿಯನ್ನು,್ರಾಣಿಯನ್ನು
ಪುರ‍್ಚು,ುರ‍್ಚು
ಪರಿಶೀಲನೆ,ರಿಶೀಲನೆ
ಪದವಿಯನ್ನು,ದವಿಯನ್ನು
ಪೂರ್ವಗ್ರಹಪೀಡಿತ,ೂರ್ವಗ್ರಹಪೀಡಿತ
ಪತ್ತಿಗೆ,ತ್ತಿಗೆ
ಪುಣ್ಣಮಿ,ುಣ್ಣಮಿ
ಪ್ರತಿಪಾಲಿಸು,್ರತಿಪಾಲಿಸು
ಪ್ರೇಮಪೂರ್ಣವಾದ,್ರೇಮಪೂರ್ಣವಾದ
ಪೊದೆಯಂತೆ,ೊದೆಯಂತೆ
ಪಂಚಮಹಾಯಜ್ಞಗಳು,ಂಚಮಹಾಯಜ್ಞಗಳು
ಪರಾಶಕ್ತಿ,ರಾಶಕ್ತಿ
ಪೇಜಸ್,ೇಜಸ್
ಪಕ್ಕರಕ್ಕೆ,ಕ್ಕರಕ್ಕೆ
ಪಾವಸೆಹಲ್ಲು,ಾವಸೆಹಲ್ಲು
ಪ್ರಪಂಚವನ್ನು,್ರಪಂಚವನ್ನು
ಪಶುಸಂತಾನ,ಶುಸಂತಾನ
ಪೇರಾಳ್ಗಳು,ೇರಾಳ್ಗಳು
ಪಂಚಲವಣ,ಂಚಲವಣ
ಪವ್ರತ್ವ,ವ್ರತ್ವ
ಪದಾತಿದಳಗಳು,ದಾತಿದಳಗಳು
ಪಾಣ್ಡಿತ್ಯವುಳ್ಳವಳು,ಾಣ್ಡಿತ್ಯವುಳ್ಳವಳು
ಪ್ರೀತಿಗಳಿಸು,್ರೀತಿಗಳಿಸು
ಪಲ್ಲವಿಗಳು,ಲ್ಲವಿಗಳು
ಪುಣ್ಡರೀಕಾಕ್ಷ,ುಣ್ಡರೀಕಾಕ್ಷ
ಪಕ್ಷಜ,ಕ್ಷಜ
ಪ್ರಕಟವಾಗಿರದ,್ರಕಟವಾಗಿರದ
ಪ್ರೋಟಾನ್‌ಗಳು,್ರೋಟಾನ್‌ಗಳು
ಪಣಹೂಡು,ಣಹೂಡು
ಪ್ರತಿನಿಧಿಯಾಗಿರು,್ರತಿನಿಧಿಯಾಗಿರು
ಪಡೆಯ,ಡೆಯ
ಪ್ರತ್ಯೇಕಗೊಂಡದು,್ರತ್ಯೇಕಗೊಂಡದು
ಪ್ರದರ್ಶಿಸಿ,್ರದರ್ಶಿಸಿ
ಪಣ್ಡಿತರು,ಣ್ಡಿತರು
ಪಕ್ಷಕ್ಕೆ,ಕ್ಷಕ್ಕೆ
ಪಲ್ಲಕ್ಕಿ,ಲ್ಲಕ್ಕಿ
ಪದಕ,ದಕ
ಪುರಾಣಗಳು,ುರಾಣಗಳು
ಪಾಲ್ಕೊಡ,ಾಲ್ಕೊಡ
ಪ್ರಾತಃಕಾಲದಲ್ಲಿ,್ರಾತಃಕಾಲದಲ್ಲಿ
ಪಟನೆ,ಟನೆ
ಪೆಂಜಱೆವು,ೆಂಜಱೆವು
ಪರಿಪಕ್ವವಾದ,ರಿಪಕ್ವವಾದ
ಪೊಙ್ಗಲು,ೊಙ್ಗಲು
ಪರಿಗ್ರಹಿಸು,ರಿಗ್ರಹಿಸು
ಪೆಡಂದಲೆ,ೆಡಂದಲೆ
ಪಂಚಪರಣ,ಂಚಪರಣ
ಪುಲ್ಬಗೆ,ುಲ್ಬಗೆ
ಪ್ರವರ್ತಿಸು,್ರವರ್ತಿಸು
ಪಣ್ಟಿ,ಣ್ಟಿ
ಪಾಟಕಲಿಸು,ಾಟಕಲಿಸು
ಪ್ರಯಾಗದ,್ರಯಾಗದ
ಪ್ರಜ್ಞಾಶೂನ್ಯಸ್ತಿತಿ,್ರಜ್ಞಾಶೂನ್ಯಸ್ತಿತಿ
ಪುಲಕೇಶಿ,ುಲಕೇಶಿ
ಪಡವಳ,ಡವಳ
ಪೊಂಬಸುರ,ೊಂಬಸುರ
ಪುಗಿಲ್ವಟ್ಟೆ,ುಗಿಲ್ವಟ್ಟೆ
ಪೊರಿಸು,ೊರಿಸು
ಪ್ರೊಫೆಸರ್,್ರೊಫೆಸರ್
ಪಾರಿವಾಣ,ಾರಿವಾಣ
ಪಟ್ಟಶಾಲೆ,ಟ್ಟಶಾಲೆ
ಪಂಚತ್ರಿಂಶತ್ಕೋಟಿ,ಂಚತ್ರಿಂಶತ್ಕೋಟಿ
ಪೇಡಿತನ,ೇಡಿತನ
ಪರಿವರ್ದಿನಿ,ರಿವರ್ದಿನಿ
ಪತ್ರಿಕೆ,ತ್ರಿಕೆ
ಪೌತ್ರಾಯಣ,ೌತ್ರಾಯಣ
ಪುಳ್ಗಿಯೋಗರ,ುಳ್ಗಿಯೋಗರ
ಪೆರ್ವೊದರು,ೆರ್ವೊದರು
ಪುನಸ್ಸಂಗಟಿಸು,ುನಸ್ಸಂಗಟಿಸು
ಪಡಪೋಸಿಯ,ಡಪೋಸಿಯ
ಪಿಂಗಡೆ,ಿಂಗಡೆ
ಪಞ್ಚಮಾರ್ಗಗಳು,ಞ್ಚಮಾರ್ಗಗಳು
ಪಳಙ್ಕು,ಳಙ್ಕು
ಪಡೆದುಕೊಳ್ಳುವ,ಡೆದುಕೊಳ್ಳುವ
ಪೆಚ್ಚಳಿಸು,ೆಚ್ಚಳಿಸು
ಪೊಲೀಸರ,ೊಲೀಸರ
ಪ್ರತ್ಯೇಕವಾಗಿರು,್ರತ್ಯೇಕವಾಗಿರು
ಪ್ರಾದುರ್ಬಾವ,್ರಾದುರ್ಬಾವ
ಪಕೀರ,ಕೀರ
ಪಡುತ್ತಿದ್ದಾರೆ,ಡುತ್ತಿದ್ದಾರೆ
ಪಾನೀಯಗಳ,ಾನೀಯಗಳ
ಪತಾಕೆಗಳು,ತಾಕೆಗಳು
ಪ್ರಶ್ನಿಸಿ,್ರಶ್ನಿಸಿ
ಪರಿಚ್ಛದ,ರಿಚ್ಛದ
ಪ್ರತಿಬಟನೆ,್ರತಿಬಟನೆ
ಪಲ್ಲುಗಳು,ಲ್ಲುಗಳು
ಪ್ರಧನ,್ರಧನ
ಪರೀಕ್ಷಾರ್ಥಿಯಾಗಿರುವಿಕೆ,ರೀಕ್ಷಾರ್ಥಿಯಾಗಿರುವಿಕೆ
ಪಂಚಲಕ್ಷಣಗಳನ್ನುಳ್ಳ,ಂಚಲಕ್ಷಣಗಳನ್ನುಳ್ಳ
ಪಡಗಗಳು,ಡಗಗಳು
ಪ್ರಾಣದೇವರು,್ರಾಣದೇವರು
ಪ್ರೇತಪೂಜೆ,್ರೇತಪೂಜೆ
ಪರಿಸ್ತಿತಿಗೆ,ರಿಸ್ತಿತಿಗೆ
ಪುರುಷತ್ವ,ುರುಷತ್ವ
ಪುದುವಾಗು,ುದುವಾಗು
ಪೊಂಬುಗುರಿಗಳು,ೊಂಬುಗುರಿಗಳು
ಪೂರ,ೂರ
ಪರಾರ್ತಕ,ರಾರ್ತಕ
ಪಳಗಿಸಲಾಗದ,ಳಗಿಸಲಾಗದ
ಪೊರ್ದು,ೊರ್ದು
ಪದ್ಮಪುರಾಣ,,ದ್ಮಪುರಾಣ,
ಪೊರ್ಕುಳಿ,ೊರ್ಕುಳಿ
ಪೂಯೋದ,ೂಯೋದ
ಪರಿಜುಕೊಟ್ಟ,ರಿಜುಕೊಟ್ಟ
ಪೌಡರ್,ೌಡರ್
ಪೂಜ್ಯರ,ೂಜ್ಯರ
ಪರಾಕಾಷ್ಟೆಯಲ್ಲಿ,ರಾಕಾಷ್ಟೆಯಲ್ಲಿ
ಪತ್ತಿಗ,ತ್ತಿಗ
ಪುಗಿಲೊಪ್ಪಿಗೆ,ುಗಿಲೊಪ್ಪಿಗೆ
ಪ್ರತಿಕ್ರಿಯೆ,್ರತಿಕ್ರಿಯೆ
ಪಲ್ಲಟ,ಲ್ಲಟ
ಪುಷ್ಪಪ್ರದರ್ಶನ,ುಷ್ಪಪ್ರದರ್ಶನ
ಪಾರುಙ್ಗುಪ್ಪೆ,ಾರುಙ್ಗುಪ್ಪೆ
ಪೊರಪಾಳೆಯ,ೊರಪಾಳೆಯ
ಪೊಳಲ್ಗಾಪು,ೊಳಲ್ಗಾಪು
ಪತ್ರಿಕೆಗಳು,ತ್ರಿಕೆಗಳು
ಪಥಸಞ್ಚಲನ,ಥಸಞ್ಚಲನ
ಪ್ರಶಾನ್ತಗೊಳಿಸು,್ರಶಾನ್ತಗೊಳಿಸು
ಪೇರೂರ್ಗಳು,ೇರೂರ್ಗಳು
ಪ್ರಪ೦ಚದ,್ರಪ೦ಚದ
ಪತ್ರಿಕೆಗಳಿಗಿಂತ,ತ್ರಿಕೆಗಳಿಗಿಂತ
ಪ್ರತಿಷ್ಠಾಪಿಸುವುದು,್ರತಿಷ್ಠಾಪಿಸುವುದು
ಪಾಲುಪೊಂಗಲು,ಾಲುಪೊಂಗಲು
ಪೆಟಗೆ,ೆಟಗೆ
ಪಲಿತಾಂಶವಾಗಿ,ಲಿತಾಂಶವಾಗಿ
ಪರ್ಯಾಲೋಚನಾ,ರ್ಯಾಲೋಚನಾ
ಪೂರ್ತಾ,ೂರ್ತಾ
ಪ್ರಕಾಶಿಸುವ,್ರಕಾಶಿಸುವ
ಪೊತ್ತಿನ್ಮಕ್ಕಳ್ಗಳು,ೊತ್ತಿನ್ಮಕ್ಕಳ್ಗಳು
ಪೊಂಗೊಡ,ೊಂಗೊಡ
ಪೋಪ್ಗಳು,ೋಪ್ಗಳು
ಪ್ರಾಧಾನ್ಯಮು,್ರಾಧಾನ್ಯಮು
ಪರಿತ್ಯಕ್ತ,ರಿತ್ಯಕ್ತ
ಪಸುಳೆದಿಂಗಳ್,ಸುಳೆದಿಂಗಳ್
ಪಗಿನುಗಳು,ಗಿನುಗಳು
ಪಾನೀಯಕೇಯ,ಾನೀಯಕೇಯ
ಪೊಗರ್ವಡು,ೊಗರ್ವಡು
ಪಂಚಿಗ,ಂಚಿಗ
ಪೊಸತುಪ್ಪ,ೊಸತುಪ್ಪ
ಪೊಳಮ್ಪು,ೊಳಮ್ಪು
ಪಙ್ಗಡಗಳು,ಙ್ಗಡಗಳು
ಪೂಷಾ,ೂಷಾ
ಪೊಳ್ಳುಬೆದರಿಕೆಗಳು,ೊಳ್ಳುಬೆದರಿಕೆಗಳು
ಪ್ರಾರಬ್ಧತ್ರಯ,್ರಾರಬ್ಧತ್ರಯ
ಪ್ರಶಂಸೆಗೆ,್ರಶಂಸೆಗೆ
ಪಂಚಬಾಣ,ಂಚಬಾಣ
ಪೇರೊಕ್ಕಲು,ೇರೊಕ್ಕಲು
ಪೇತ,ೇತ
ಪ್ರಯಾಸಪಟ್ಟು,್ರಯಾಸಪಟ್ಟು
ಪೂರ್ವಸ್ಥಾನ,ೂರ್ವಸ್ಥಾನ
ಪ್ರಾಂತ,್ರಾಂತ
ಪಾತಾಳಗರಡಿ,ಾತಾಳಗರಡಿ
ಪ್ರೇಮಿ,್ರೇಮಿ
ಪುನ್ನಾಗ,ುನ್ನಾಗ
ಪಂಚಾಯಿತಿದಾರ,ಂಚಾಯಿತಿದಾರ
ಪಿಪಾಸು,ಿಪಾಸು
ಪೂಳ್,ೂಳ್
ಪಂಚವಿಂಶಾಖ್ಯ,ಂಚವಿಂಶಾಖ್ಯ
ಪಟೀರಗಳು,ಟೀರಗಳು
ಪುಣ್ಡುಗಾರರು,ುಣ್ಡುಗಾರರು
ಪಾರಿಜಾತ,,ಾರಿಜಾತ,
ಪೆರ್ನೊಣ,ೆರ್ನೊಣ
ಪ್ರದಾನವಾಗಿ,್ರದಾನವಾಗಿ
ಪಚನದೊಳ್,ಚನದೊಳ್
ಪರಿಗ್ರಹ,,ರಿಗ್ರಹ,
ಪರಿಜುಗಳಲ್ಲಿ,ರಿಜುಗಳಲ್ಲಿ
ಪಂದಗಳು,ಂದಗಳು
ಪ್ರಜ್ಞಾವನ್ತನಾಗಿರು,್ರಜ್ಞಾವನ್ತನಾಗಿರು
ಪೂರ್ಣವಾಕ್ಯಗಳಿಗೆ,ೂರ್ಣವಾಕ್ಯಗಳಿಗೆ
ಪೊಲಂಬುಗಿಡಿಸು,ೊಲಂಬುಗಿಡಿಸು
ಪುದುಗಿಸು,ುದುಗಿಸು
ಪಾಸುನ್ದೊವಲ್,ಾಸುನ್ದೊವಲ್
ಪಞ್ಚಾನನ,ಞ್ಚಾನನ
ಪರಿಮಳದ,ರಿಮಳದ
ಪೇರೊಕ್ಕಲ್,ೇರೊಕ್ಕಲ್
ಪಯಸ್,ಯಸ್
ಪದುಳಮಿರ್,ದುಳಮಿರ್
ಪ್ರತಿಗಳನ್ನು,್ರತಿಗಳನ್ನು
ಪ್ರಮಾಣದಲ್ಲಿರುವುದು,್ರಮಾಣದಲ್ಲಿರುವುದು
ಪದಾತಿತಣ್ಡ,ದಾತಿತಣ್ಡ
ಪ್ರಚೋದಿಸುವಂತಹುದು,್ರಚೋದಿಸುವಂತಹುದು
ಪಾಕಾರಿ,ಾಕಾರಿ
ಪ್ರಾಯಶ್ಚಿತ್ತಮು,್ರಾಯಶ್ಚಿತ್ತಮು
ಪೊಸದೋಣ್ಟ,ೊಸದೋಣ್ಟ
ಪೃತಕ್ಕರಣೆ,ೃತಕ್ಕರಣೆ
ಪೊಡಕರಿಸು,ೊಡಕರಿಸು
ಪೀಸು,ೀಸು
ಪೂರ್ಣಸಂಖ್ಯೆಗಳು,ೂರ್ಣಸಂಖ್ಯೆಗಳು
ಪ್ರತಿಜ್ಞೆ,್ರತಿಜ್ಞೆ
ಪುನರ್ಮೌಲ್ಯೀಕರಿಸು,ುನರ್ಮೌಲ್ಯೀಕರಿಸು
ಪ್ರಾಣಶಕ್ತಿ,್ರಾಣಶಕ್ತಿ
ಪಿಸು,ಿಸು
ಪೂರ್ವದಿಕ್ಕು,,ೂರ್ವದಿಕ್ಕು,
ಪೊದರು,ೊದರು
ಪಚ್ಚೆಕಲ್ಲು,ಚ್ಚೆಕಲ್ಲು
ಪಸಿಗೆ,ಸಿಗೆ
ಪರುಗೋಲ್,ರುಗೋಲ್
ಪ್ರಾತಿನಿದ್ಯಗಳು,್ರಾತಿನಿದ್ಯಗಳು
ಪುಡಿಪುಡಿಯಾದ,ುಡಿಪುಡಿಯಾದ
ಪಲಿತಾಂಶವನ್ನು,ಲಿತಾಂಶವನ್ನು
ಪರ್ವರ,ರ್ವರ
ಪಿಡಿಕಿಸು,ಿಡಿಕಿಸು
ಪಟ್ಟಾಭಿಷೇಕಮಾಡು,ಟ್ಟಾಭಿಷೇಕಮಾಡು
ಪೆಣ್ಗುದುರೆ,ೆಣ್ಗುದುರೆ
ಪಟದ,ಟದ
ಪೊಲ್ಲದು,ೊಲ್ಲದು
ಪೆರ್ಬುಸಿ,ೆರ್ಬುಸಿ
ಪೆರ್ಮುಗಿಲ್,ೆರ್ಮುಗಿಲ್
ಪ್ರದರ್ಶನಗಳ,್ರದರ್ಶನಗಳ
ಪ್ರಪಾವಧು,್ರಪಾವಧು
ಪಾತ್ರವರ್ಗ,ಾತ್ರವರ್ಗ
ಪಂಗಡ,ಂಗಡ
ಪ್ರತಿಬಟನೆಕಾರ,್ರತಿಬಟನೆಕಾರ
ಪಾಳಿಮೀರಿಕೆ,ಾಳಿಮೀರಿಕೆ
ಪ್ರಯೋಜನವುಳ್ಳ,್ರಯೋಜನವುಳ್ಳ
ಪಚ್ಚನ,ಚ್ಚನ
ಪಟ್ಟಿಯನ್ನು,ಟ್ಟಿಯನ್ನು
ಪಾಲುಮಾರಿಕೆಯ,ಾಲುಮಾರಿಕೆಯ
ಪುಟ್ಟಬಾಳೆ,ುಟ್ಟಬಾಳೆ
ಪಸುಗೆ,ಸುಗೆ
ಪೊನಲ್ವರಿ,ೊನಲ್ವರಿ
ಪಲ್ಲೆಗಳು,ಲ್ಲೆಗಳು
ಪೆಣ್ಡೆಯ,ೆಣ್ಡೆಯ
ಪುರ್ಚು,ುರ್ಚು
ಪೊಲಙ್ಗೊಳ್,ೊಲಙ್ಗೊಳ್
ಪುಷ್ಟವಾದುದು,ುಷ್ಟವಾದುದು
ಪುಟ್ಟಣ್ಣಗೌಡರ,,ುಟ್ಟಣ್ಣಗೌಡರ,
ಪೊಚ್ಚರುಗಿಡು,ೊಚ್ಚರುಗಿಡು
ಪೊಡರ್ಪುಗುಂದಿಸು,ೊಡರ್ಪುಗುಂದಿಸು
ಪೆಂಗುಸು,ೆಂಗುಸು
ಪುರುಸೊತ್ತಿಲ್ಲದ,ುರುಸೊತ್ತಿಲ್ಲದ
ಪರ್ವತಮಯ,ರ್ವತಮಯ
ಪಾಠವನ್ನು,ಾಠವನ್ನು
ಪಸುರುಡಿಗೆ,ಸುರುಡಿಗೆ
ಪಾರಾಗಿರುವ,ಾರಾಗಿರುವ
ಪಾಸಿಟ್ರಾನ್,ಾಸಿಟ್ರಾನ್
ಪರಾಧೀನವಾದುದು,ರಾಧೀನವಾದುದು
ಪಾಥೋಧರ,ಾಥೋಧರ
ಪೊನ್ನಗಣ್ಟಿ,ೊನ್ನಗಣ್ಟಿ
ಪ್ರತಿಷೇದ,್ರತಿಷೇದ
ಪೊಲಮೆಚ್ಚು,ೊಲಮೆಚ್ಚು
ಪಾೞ್ಬಾವಿ,ಾೞ್ಬಾವಿ
ಪಥವನ್ನು,ಥವನ್ನು
ಪ್ರಕಟಗೊಳ್ಳುವಿಕೆ,್ರಕಟಗೊಳ್ಳುವಿಕೆ
ಪ್ರಕರ್ಷ,್ರಕರ್ಷ
ಪೊಸನಾರ್,ೊಸನಾರ್
ಪಡೆಯಿದೆ,ಡೆಯಿದೆ
ಪೂಜಾಸ್ತಳಗಳು,ೂಜಾಸ್ತಳಗಳು
ಪ್ರಾಣಿಜನ್ಯತೆ,್ರಾಣಿಜನ್ಯತೆ
ಪುಸಿನುಡಿ,ುಸಿನುಡಿ
ಪಾರ್ವಖಗ,ಾರ್ವಖಗ
